Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,070247,2010,11,21.1
IDCJAC0003,070247,2010,12,25.3
IDCJAC0003,070247,2011,01,23.5
IDCJAC0003,070247,2011,02,19.8
IDCJAC0003,070247,2011,03,16.3
IDCJAC0003,070247,2011,04,13.6
IDCJAC0003,070247,2011,05,10.4
IDCJAC0003,070247,2011,06,8.3
IDCJAC0003,070247,2011,07,8.3
IDCJAC0003,070247,2011,08,11.8
IDCJAC0003,070247,2011,09,16.0
IDCJAC0003,070247,2011,10,19.3
IDCJAC0003,070247,2011,11,21.6
IDCJAC0003,070247,2011,12,24.5
IDCJAC0003,070247,2012,01,25.7
IDCJAC0003,070247,2012,02,18.8
IDCJAC0003,070247,2012,03,14.8
IDCJAC0003,070247,2012,04,13.3
IDCJAC0003,070247,2012,05,10.6
IDCJAC0003,070247,2012,06,7.5
IDCJAC0003,070247,2012,07,9.4
IDCJAC0003,070247,2012,08,12.4
IDCJAC0003,070247,2012,09,17.1
IDCJAC0003,070247,2012,10,22.4
IDCJAC0003,070247,2012,11,22.3
IDCJAC0003,070247,2012,12,25.8
IDCJAC0003,070247,2013,01,27.5
IDCJAC0003,070247,2013,02,20.4
IDCJAC0003,070247,2013,03,20.1
IDCJAC0003,070247,2013,04,14.0
IDCJAC0003,070247,2013,05,10.2
IDCJAC0003,070247,2013,06,7.3
IDCJAC0003,070247,2013,07,8.2
IDCJAC0003,070247,2013,08,12.0
IDCJAC0003,070247,2013,09,15.9
IDCJAC0003,070247,2013,10,21.7
IDCJAC0003,070247,2013,11,22.2
IDCJAC0003,070247,2013,12,26.4
IDCJAC0003,070247,2014,01,26.9
IDCJAC0003,070247,2014,02,21.6
IDCJAC0003,070247,2014,03,15.5
IDCJAC0003,070247,2014,04,11.9
IDCJAC0003,070247,2014,05,10.2
IDCJAC0003,070247,2014,06,7.3
IDCJAC0003,070247,2014,07,8.8
IDCJAC0003,070247,2014,08,12.5
IDCJAC0003,070247,2014,09,16.3
IDCJAC0003,070247,2014,10,20.8
IDCJAC0003,070247,2014,11,23.4
IDCJAC0003,070247,2014,12,25.3
IDCJAC0003,070247,2015,01,22.8
